Model,Size (MB),Load Time (s),Latency (ms),FPS,P95 (ms),P99 (ms),GPU Mem (GB),GPU Util (%),Power (W)
From Scratch,3.7,0.42,3.94,254.0,4.45,4.75,15.02,11.0,133.5
Pretrained,14.1,0.08,3.95,253.3,4.39,4.64,15.02,32.4,191.3
