               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093269,            0.044163,             0.07334,          0.00042872,            0.019809,           0.0002964,           6.712e-05,            0.084922,            0.026852,            0.062959,            0.070231,           0.0033077,           0.0033077
                   1,            0.084473,            0.044404,            0.063588,             0.00195,              0.1131,           0.0013841,          0.00038299,            0.079141,            0.031175,            0.058044,            0.040165,           0.0065753,           0.0065753
                   2,            0.073386,            0.046824,            0.060446,             0.75723,            0.011977,           0.0050597,           0.0013425,            0.072196,            0.032249,            0.053562,            0.010033,           0.0097769,           0.0097769
                   3,            0.065716,             0.04511,            0.056809,             0.57467,            0.033512,             0.01305,           0.0042979,            0.065452,            0.036484,             0.04925,            0.009703,            0.009703,            0.009703
                   4,            0.061851,            0.043686,            0.051748,             0.25523,             0.14531,            0.064441,            0.022111,            0.060761,            0.027384,            0.044427,            0.009703,            0.009703,            0.009703
                   5,            0.059478,            0.043249,            0.047515,             0.21906,             0.14991,            0.072908,            0.023616,            0.063816,            0.027217,            0.040184,            0.009604,            0.009604,            0.009604
                   6,            0.057975,            0.042595,            0.044564,             0.19426,             0.19919,             0.12213,            0.045848,            0.055606,            0.025625,            0.035791,            0.009505,            0.009505,            0.009505
                   7,            0.056672,            0.041843,            0.042307,             0.22713,             0.22326,             0.14865,            0.058951,            0.055278,            0.025688,            0.034969,            0.009406,            0.009406,            0.009406
                   8,            0.055675,            0.041527,            0.040122,             0.25297,              0.2832,             0.19525,            0.077474,            0.053216,            0.024704,             0.03171,            0.009307,            0.009307,            0.009307
                   9,            0.054581,            0.040579,             0.03879,             0.26538,             0.29057,             0.20659,            0.083696,            0.052615,            0.026047,            0.029818,            0.009208,            0.009208,            0.009208
                  10,             0.05403,            0.040902,            0.037416,             0.31503,              0.2993,             0.24127,             0.10163,            0.052176,            0.024537,            0.028369,            0.009109,            0.009109,            0.009109
                  11,            0.053275,            0.040976,            0.036236,             0.31347,             0.32315,             0.25138,             0.11008,            0.050926,            0.024198,            0.027709,             0.00901,             0.00901,             0.00901
