               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.0388,             0.03317,            0.014337,             0.68725,             0.64158,             0.68041,             0.41329,            0.035831,            0.019645,            0.009247,            0.006436,            0.006436,            0.006436
                  38,            0.038601,            0.032848,            0.014493,             0.69267,              0.6448,             0.68721,             0.41436,            0.035634,            0.019619,           0.0096128,            0.006337,            0.006337,            0.006337
                  39,            0.038318,            0.032719,             0.01411,             0.70191,             0.65145,             0.69764,             0.42476,            0.035552,            0.019557,           0.0091544,            0.006238,            0.006238,            0.006238
                  40,            0.038063,             0.03266,            0.013988,             0.69873,             0.63791,             0.68435,             0.41612,            0.035741,            0.019633,           0.0095273,            0.006139,            0.006139,            0.006139
                  41,            0.038157,            0.032687,            0.013805,             0.70067,             0.65222,             0.69629,             0.42867,            0.035698,            0.019386,           0.0093065,             0.00604,             0.00604,             0.00604
                  42,            0.038081,            0.032526,             0.01412,             0.69783,             0.66307,             0.70472,             0.43117,            0.035077,             0.01943,           0.0092956,            0.005941,            0.005941,            0.005941
                  43,             0.03807,            0.032374,            0.013679,             0.70203,             0.66235,             0.71278,             0.43981,            0.034965,              0.0193,           0.0088648,            0.005842,            0.005842,            0.005842
                  44,            0.037976,            0.032605,            0.013837,             0.70991,             0.67191,             0.71621,              0.4411,            0.034884,            0.019078,           0.0087837,            0.005743,            0.005743,            0.005743
                  45,            0.037752,             0.03254,            0.013577,             0.71516,             0.66003,             0.70924,             0.43946,            0.034927,             0.01927,           0.0087018,            0.005644,            0.005644,            0.005644
                  46,            0.037624,            0.032243,            0.013352,             0.72908,             0.65319,             0.70893,              0.4401,            0.035067,            0.019126,            0.008891,            0.005545,            0.005545,            0.005545
                  47,            0.037573,            0.032485,            0.013161,             0.71856,             0.67192,             0.71982,              0.4475,            0.034832,            0.019068,           0.0085954,            0.005446,            0.005446,            0.005446
                  48,            0.037514,            0.032318,            0.013082,             0.71757,             0.67767,             0.72501,             0.45364,            0.034538,             0.01901,           0.0085331,            0.005347,            0.005347,            0.005347
                  49,            0.037369,            0.032516,            0.013207,             0.70812,             0.66757,             0.71461,             0.44661,            0.034287,            0.019153,           0.0083553,            0.005248,            0.005248,            0.005248
                  50,             0.03741,            0.032239,            0.012861,             0.71248,             0.68809,             0.73073,             0.46009,            0.034329,            0.018846,           0.0080715,            0.005149,            0.005149,            0.005149
                  51,            0.037076,            0.031806,            0.012937,             0.71668,              0.6896,             0.73333,             0.46007,            0.034431,            0.018904,           0.0080111,             0.00505,             0.00505,             0.00505
                  52,             0.03703,            0.031788,            0.012774,             0.72046,             0.67907,             0.72602,               0.455,            0.034167,            0.018957,           0.0078128,            0.004951,            0.004951,            0.004951
                  53,            0.036994,            0.032177,            0.012454,             0.71769,             0.68576,             0.72752,             0.46043,            0.034332,            0.018896,           0.0078802,            0.004852,            0.004852,            0.004852
                  54,            0.036967,            0.031907,             0.01254,              0.7443,             0.68075,             0.73895,             0.46625,            0.034148,            0.018796,           0.0077694,            0.004753,            0.004753,            0.004753
                  55,            0.036639,            0.031766,            0.012303,             0.73803,             0.67951,             0.73721,             0.46761,            0.034151,            0.018807,           0.0078376,            0.004654,            0.004654,            0.004654
                  56,            0.036796,            0.031842,            0.012489,             0.73152,             0.68504,             0.73627,             0.46687,            0.034216,            0.018719,           0.0080191,            0.004555,            0.004555,            0.004555
                  57,            0.036792,            0.031971,            0.011905,             0.74354,             0.68098,              0.7414,              0.4702,             0.03389,            0.018853,            0.007668,            0.004456,            0.004456,            0.004456
